"","sample_ID","species","tissue","time"
"DR106_dre_liver_42_months","DR106_dre_liver_42_months","dre","liver","42months"
"DR106_dre_skin_42_months","DR106_dre_skin_42_months","dre","skin","42months"
"DR107_dre_liver_42_months","DR107_dre_liver_42_months","dre","liver","42months"
"DR107_dre_skin_42_months","DR107_dre_skin_42_months","dre","skin","42months"
"DR108_dre_skin_42_months","DR108_dre_skin_42_months","dre","skin","42months"
"DR109_dre_liver_42_months","DR109_dre_liver_42_months","dre","liver","42months"
"DR109_dre_skin_42_months","DR109_dre_skin_42_months","dre","skin","42months"
"DR110_dre_liver_42_months","DR110_dre_liver_42_months","dre","liver","42months"
"DR111_dre_brain_42_months","DR111_dre_brain_42_months","dre","brain","42months"
"DR111_dre_skin_42_months","DR111_dre_skin_42_months","dre","skin","42months"
"DR112_dre_brain_42_months","DR112_dre_brain_42_months","dre","brain","42months"
"DR112_dre_liver_42_months","DR112_dre_liver_42_months","dre","liver","42months"
"DR113_dre_brain_42_months","DR113_dre_brain_42_months","dre","brain","42months"
"DR116_dre_brain_42_months","DR116_dre_brain_42_months","dre","brain","42months"
"DR117_dre_brain_42_months","DR117_dre_brain_42_months","dre","brain","42months"
"DR119_dre_brain_12_months","DR119_dre_brain_12_months","dre","brain","12months"
"DR119_dre_skin_12_months","DR119_dre_skin_12_months","dre","skin","12months"
"DR120_dre_brain_12_months","DR120_dre_brain_12_months","dre","brain","12months"
"DR120_dre_liver_12_months","DR120_dre_liver_12_months","dre","liver","12months"
"DR120_dre_skin_12_months","DR120_dre_skin_12_months","dre","skin","12months"
"DR121_dre_brain_12_months","DR121_dre_brain_12_months","dre","brain","12months"
"DR121_dre_skin_12_months","DR121_dre_skin_12_months","dre","skin","12months"
"DR122_dre_brain_12_months","DR122_dre_brain_12_months","dre","brain","12months"
"DR122_dre_liver_12_months","DR122_dre_liver_12_months","dre","liver","12months"
"DR122_dre_skin_12_months","DR122_dre_skin_12_months","dre","skin","12months"
"DR124_dre_brain_12_months","DR124_dre_brain_12_months","dre","brain","12months"
"DR124_dre_liver_12_months","DR124_dre_liver_12_months","dre","liver","12months"
"DR125_dre_liver_12_months","DR125_dre_liver_12_months","dre","liver","12months"
"DR125_dre_skin_12_months","DR125_dre_skin_12_months","dre","skin","12months"
"DR126_dre_liver_12_months","DR126_dre_liver_12_months","dre","liver","12months"
"DR132_dre_brain_24_months","DR132_dre_brain_24_months","dre","brain","24months"
"DR133_dre_brain_24_months","DR133_dre_brain_24_months","dre","brain","24months"
"DR133_dre_liver_24_months","DR133_dre_liver_24_months","dre","liver","24months"
"DR133_dre_skin_24_months","DR133_dre_skin_24_months","dre","skin","24months"
"DR134_dre_brain_24_months","DR134_dre_brain_24_months","dre","brain","24months"
"DR134_dre_liver_24_months","DR134_dre_liver_24_months","dre","liver","24months"
"DR134_dre_skin_24_months","DR134_dre_skin_24_months","dre","skin","24months"
"DR135_dre_brain_24_months","DR135_dre_brain_24_months","dre","brain","24months"
"DR135_dre_liver_24_months","DR135_dre_liver_24_months","dre","liver","24months"
"DR135_dre_skin_24_months","DR135_dre_skin_24_months","dre","skin","24months"
"DR136_dre_brain_24_months","DR136_dre_brain_24_months","dre","brain","24months"
"DR136_dre_liver_24_months","DR136_dre_liver_24_months","dre","liver","24months"
"DR136_dre_skin_24_months","DR136_dre_skin_24_months","dre","skin","24months"
"DR137_dre_skin_24_months","DR137_dre_skin_24_months","dre","skin","24months"
"DR138_dre_liver_24_months","DR138_dre_liver_24_months","dre","liver","24months"
"DR145_dre_brain_36_months","DR145_dre_brain_36_months","dre","brain","36months"
"DR145_dre_skin_36_months","DR145_dre_skin_36_months","dre","skin","36months"
"DR146_dre_brain_36_months","DR146_dre_brain_36_months","dre","brain","36months"
"DR146_dre_liver_36_months","DR146_dre_liver_36_months","dre","liver","36months"
"DR146_dre_skin_36_months","DR146_dre_skin_36_months","dre","skin","36months"
"DR147_dre_brain_36_months","DR147_dre_brain_36_months","dre","brain","36months"
"DR147_dre_liver_36_months","DR147_dre_liver_36_months","dre","liver","36months"
"DR147_dre_skin_36_months","DR147_dre_skin_36_months","dre","skin","36months"
"DR148_dre_brain_36_months","DR148_dre_brain_36_months","dre","brain","36months"
"DR149_dre_brain_36_months","DR149_dre_brain_36_months","dre","brain","36months"
"DR149_dre_skin_36_months","DR149_dre_skin_36_months","dre","skin","36months"
"DR150_dre_liver_36_months","DR150_dre_liver_36_months","dre","liver","36months"
"DR150_dre_skin_36_months","DR150_dre_skin_36_months","dre","skin","36months"
"DR151_dre_liver_36_months","DR151_dre_liver_36_months","dre","liver","36months"
"DR152_dre_liver_36_months","DR152_dre_liver_36_months","dre","liver","36months"
